sample_name,date,processed_delta_d,processed_delta_d_stdev,processed_delta_18O,processed_delta_18O_stdev,d_excess,lc_excess,site,location
TCP3US 20260624,6/24/2026,-124.1,0.09,-16.58,0.01,8.56,-1.8248,tc_us,tc
TCP3MID 20260624,6/24/2026,-124.29,0.09,-16.57,0.04,8.25,-2.0942,tc_mid,tc
TCP3DS 20260624,6/24/2026,-124.78,0.18,-16.7,0.06,8.8,-1.552,tc_ds,tc
TCBDA1 20260624,6/24/2026,-123.92,0.01,-16.45,0.02,7.64,-2.677,tc_1,tc
TCBDA15 20260624,6/24/2026,-123.06,0.15,-16.29,0.04,7.26,-3.0874,tc_15,tc
TCBDA2 20260624,6/24/2026,-122.17,0.11,-16.11,0.03,6.72,-3.6266,tc_2,tc
TCBDA3 20260624,6/24/2026,-120.43,0.13,-15.67,0.02,4.89,-5.3802,tc_3,tc
TCP3US 20260630,6/30/2026,-123.34,0.18,-16.41,0.05,7.95,-2.4146,tc_us,tc
TCP3MID 20260630,6/30/2026,-123.3,0.07,-16.36,0.02,7.59,-2.7716,tc_mid,tc
TCP3DS 20260630,6/30/2026,-123.68,0.1,-16.43,0.01,7.76,-2.5958,tc_ds,tc
TCBDA1 20260630,6/30/2026,-123.47,0.02,-16.35,0.02,7.3,-3.021,tc_1,tc
TCBDA15 20260630,6/30/2026,-122.49,0.1,-16.17,0.03,6.84,-3.4702,tc_15,tc
TCBDA2 20260630,6/30/2026,-120.34,0.08,-15.73,0.01,5.47,-4.8138,tc_2,tc
TCBDA3 20260630,6/30/2026,-119.25,0.05,-15.6,0.02,5.54,-4.756,tc_3,tc
IC1 20260701,7/1/2026,-121.01,0.1,-16.91,0.02,14.27,3.7399,italian_1,ic
IC2 20260701,7/1/2026,-120.19,0.12,-16.74,0.04,13.7,3.2186,italian_2,ic
IC3 20260701,7/1/2026,-120.32,0.09,-16.77,0.04,13.83,3.3253,italian_3,ic
IC4 20260701,7/1/2026,-120.57,0.39,-16.82,0.04,14.02,3.4698,italian_4,ic
IC5 20260701,7/1/2026,-120.22,0.03,-16.75,0.02,13.82,3.2675,italian_5,ic
CC1 20260623,6/23/2026,-115.91,0.08,-15.9,0.03,11.33,1.207,coal_1,cc
CC2 20260623,6/23/2026,-116.31,0.89,-15.95,0.1,11.26,1.2035,coal_2,cc
CC3 20260623,6/23/2026,-109.92,0.09,-15.06,0.05,10.54,0.5358,coal_3,cc
CC4 20260623,6/23/2026,-114.79,0.08,-15.67,0.03,10.58,0.5031,coal_4,cc
CC5 20260623,6/23/2026,-113.71,0.09,-15.42,0.01,9.68,-0.3994,coal_5,cc
CC6 20260623,6/23/2026,-112.89,0.06,-15.3,0.03,9.54,-0.531,coal_6,cc
CC1 20260707,7/7/2026,-115.1,0.04,-15.63,0.01,9.94,-0.1241,coal_1,cc
CC2 20260707,7/7/2026,-113.48,0.14,-15.25,0.01,8.56,-1.5175,coal_2,cc
CC3 20260707,7/7/2026,-112,0.08,-15.32,0.03,10.6,0.5176,coal_3,cc
CC4 20260707,7/7/2026,-110.64,0.07,-14.67,0.03,6.68,-3.2769,coal_4,cc
CC5 20260707,7/7/2026,-109.71,0.13,-14.5,0.04,6.3,-3.695,coal_5,cc
CC6 20260707,7/7/2026,-110.82,0.23,-14.83,0.02,7.79,-2.1881,coal_6,cc
